URL,Type,Status Code,Replacement URL,Priority,Decision Confidence,GSC Indexing Blocker,Top Inlink Sources,Notes,Implementation Notes
https://tokentopnews.com/category/altcoins/,category_archive,301,https://tokentopnews.com/altcoins/,Critical,High,,/world-launches-agentkit-ai-agents-cryptographic-identity-proofs/ (1),Legacy archive path still appears in crawl/GSC and should be consolidated | Replacement candidate: https://tokentopnews.com/altcoins/,301 old /category/ path to https://tokentopnews.com/altcoins/.
https://tokentopnews.com/category/bitcoin/,category_archive,301,https://tokentopnews.com/bitcoin/,Critical,High,,/sec-bitcoin-mining-rewards-not-securities/ (1) | /sec-cftc-bitcoin-mining-rewards-protocol-mining-clarification/ (1) | /blockstream-jade-first-hardware-wallet-lightning-network/ (1),Legacy archive path still appears in crawl/GSC and should be consolidated | Replacement candidate: https://tokentopnews.com/bitcoin/,301 old /category/ path to https://tokentopnews.com/bitcoin/.
https://tokentopnews.com/category/crypto-insights/,category_archive,301,https://tokentopnews.com/crypto-insights/,Critical,High,,/world-launches-agentkit-ai-agents-cryptographic-identity-proofs/ (1) | /bitcoin-etf-flows-today-219m-daily-inflow-825m-weekly/ (1),Legacy archive path still appears in crawl/GSC and should be consolidated | Replacement candidate: https://tokentopnews.com/crypto-insights/,301 old /category/ path to https://tokentopnews.com/crypto-insights/.
https://tokentopnews.com/category/crypto-regulation/,category_archive,301,https://tokentopnews.com/crypto-regulation/,Critical,High,,/sec-bitcoin-mining-rewards-not-securities/ (1) | /sec-cftc-bitcoin-mining-rewards-protocol-mining-clarification/ (1),Legacy archive path still appears in crawl/GSC and should be consolidated | Replacement candidate: https://tokentopnews.com/crypto-regulation/,301 old /category/ path to https://tokentopnews.com/crypto-regulation/.
https://tokentopnews.com/news/,legacy_news_archive,404,,Critical,High,,/hedera-hbar-price-brian-brooks-and-sec/ (1) | /tether-usdt-collaboration-fbi-and-secret-service/ (1) | /grayscale-smart-contract-fund-updates-holdings/ (1),Legacy archive path still appears in crawl/GSC and should be consolidated,Legacy /news/ path still needs a manual destination before redirecting.
https://tokentopnews.com/news/altcoin/,legacy_news_archive,301,https://tokentopnews.com/altcoin-bitcoin-decoupling-market-volatility/,Critical,High,,/gary-gensler-cryptocurrency-is-full-of-scammers/ (1),Legacy archive path still appears in crawl/GSC and should be consolidated | Replacement candidate: https://tokentopnews.com/altcoin-bitcoin-decoupling-market-volatility/,301 legacy /news/ path to https://tokentopnews.com/altcoin-bitcoin-decoupling-market-volatility/.
https://tokentopnews.com/news/bitcoin-btc/,legacy_news_archive,301,https://tokentopnews.com/bitcoin-btc-price-prediction-2025-2030/,Critical,High,,/what-are-bip-and-why-should-every-crypto-trader-follow-them/ (3) | /binance-adopts-bitcoin-nfts/ (2) | /politics-and-cryptocurrency-merge-in-argentina/ (2),Legacy archive path still appears in crawl/GSC and should be consolidated | Replacement candidate: https://tokentopnews.com/bitcoin-btc-price-prediction-2025-2030/,301 legacy /news/ path to https://tokentopnews.com/bitcoin-btc-price-prediction-2025-2030/.
https://tokentopnews.com/news/ethereum-eth/,legacy_news_archive,301,https://tokentopnews.com/ethereum-eth-whale-activity-and-solana-sol-bullish-push-gain-momentum-but-cold-wallets-stage-2-privacy-token-leads-long-term-value-plays/,Critical,High,,/cardano-ada-vs-ethereum-eth-pow/ (3) | /morgan-stanley-crypto-increasingly-centralized/ (2) | /ripple-and-ethereum-soon-to-be-interoperable/ (2),Legacy archive path still appears in crawl/GSC and should be consolidated | Replacement candidate: https://tokentopnews.com/ethereum-eth-whale-activity-and-solana-sol-bullish-push-gain-momentum-but-cold-wallets-stage-2-privacy-token-leads-long-term-value-plays/,301 legacy /news/ path to https://tokentopnews.com/ethereum-eth-whale-activity-and-solana-sol-bullish-push-gain-momentum-but-cold-wallets-stage-2-privacy-token-leads-long-term-value-plays/.
https://tokentopnews.com/news/metaverse/,legacy_news_archive,,,Critical,High,,,Legacy archive path still appears in crawl/GSC and should be consolidated,Legacy /news/ path still needs a manual destination before redirecting.
https://tokentopnews.com/crypto-topics/page/27/,pagination,404,,High,High,,/crypto-topics/page/2/ (1) | /crypto-topics/page/4/ (1) | /crypto-topics/ (1),,Broken URL has signals but no safe replacement was inferred; map manually.
