Priority,Category,Issue,Evidence,Impact,Recommended Action,Effort,Status
Critical,Index Control,"Utility pages are 200 + indexable + present in sitemap","/login/; /my-account/; /bookmarks/; /my-follows/ are Indexable in coinlineup-internal_html.csv and IN_SITEMAP in sitemaps_urls_in_sitemap.csv","High index bloat, crawl waste, weakens content quality signals, exposes low-value UX pages to Google","Set noindex,follow or block indexing at template level; remove from XML sitemaps; review internal links that surface these URLs",Medium,Open
Critical,Sitemap Hygiene,"Sitemap includes low-value and non-content URLs","/login/; /my-account/; /bookmarks/; /my-follows/; /uncategorized/; /sponsored-articles/; /press-release/; /contacts/; /editorial-policy/; /publish-editorial-standards-fact-checking-policy/ all appear in sitemaps_urls_in_sitemap.csv","Sitemap stops acting as a clean canonical indexable set and sends mixed quality signals","Restrict sitemap generation to canonical index-worthy pages and trust pages that are intentionally indexable",Medium,Open
Critical,Redirect Architecture,"Currency URLs redirect to a broken destination","response_codes_redirection_(3xx).csv shows multiple /currencies/ URLs 301 to /cmc-currency-details-advanced-design/; sitemaps_nonindexable_urls_in_sitemap.csv shows that target is 404","Users and crawlers hit dead-end redirect chains; equity from internal links is wasted","Fix the currency template routing, map each currency to a valid canonical destination, and remove the broken target from all sitemaps and internal links",High,Open
High,Internal Linking,"Large internal broken-link footprint","Internal error split from exports: 559 internal 404 URLs, 537 internal 301 URLs, 132 internal 5xx URLs","Weakens crawl efficiency, creates poor UX, and can trap Google in stale URL patterns","Export inlinks for top broken internal URLs, update source links, and clean legacy slugs plus stale widget/template outputs",High,Open
High,Media Hygiene,"Broken and unstable uploads are included in sitemap coverage","sitemaps_nonindexable_urls_in_sitemap.csv contains 141 non-indexables in sitemap, including 130 /wp-content/uploads/ entries; internal 5xx sample is dominated by uploads returning 520/522/525","Image and media instability hurts rendering, trust, and sitemap quality","Remove failing media URLs from sitemap generation, verify CDN or origin stability, and regenerate missing image assets",Medium,Open
High,Taxonomy Hygiene,"Uncategorized archive is indexable and heavily linked","https://coinlineup.com/uncategorized/ is 200 + Indexable with 1,292 unique inlinks and is present in sitemap","Thin archive pages dilute topic focus and can absorb link equity from meaningful sections","Reassign posts out of Uncategorized, 301 or noindex the archive, and remove it from menus/widgets/sitemaps",Medium,Open
High,Commercial Archive Strategy,"Sponsored archive pagination is fully indexable","32 /sponsored-articles/ URLs are indexable, including paginated archives page/2 through page/32","Creates a large low-value commercial archive layer that can compete with editorial sections","Decide whether sponsored content should index at archive level; if not, noindex paginated archive pages and separate them clearly from editorial taxonomy",Low,Open
High,Archive Rules,"Author archive config is inconsistent","423 author URLs are noindex in directives_noindex.csv, but /author/digitalanand18gmail-com/page/314/ is Indexable and listed in canonicals_missing.csv","Signals template leakage and can create index pollution on deep pagination","Apply consistent noindex/canonical rules to author pagination and fix the template edge case creating page/314",Medium,Open
Medium,On-Page SEO,"Metadata debt is concentrated in low-value archives and utility areas","1,426 missing meta descriptions, 2,239 titles over 60 chars, 65 duplicate titles, 44 duplicate meta descriptions; missing meta is dominated by tag archives (1,218 rows)","Weak CTR and large-scale template duplication reduce SERP quality","Start with template-level fixes for tag archives, duplicate posts, and utility pages before editing article metadata manually",Medium,Open
Medium,Duplicate Content,"Duplicate post variants with -2 suffix are live","page_titles_duplicate.csv shows 18 duplicate-title URLs ending in -2; meta_description_duplicate.csv shows 17 duplicate-meta URLs ending in -2","Near-duplicate pages split signals and create cannibalization risk","Choose canonical winners, 301 duplicate variants, and tighten editorial publishing workflow to prevent duplicate slugs",Medium,Open
Medium,Information Architecture,"Important trust pages are orphaned","sitemaps_orphan_urls.csv lists /contacts/, /editorial-policy/, and /publish-editorial-standards-fact-checking-policy/ as orphan URLs","Trust and policy pages are harder for users and crawlers to discover","Link trust pages from footer, about, and author areas so they are not sitemap-only destinations",Low,Open
Low,External Link Quality,"A large share of 4xx/5xx findings come from third-party destinations","Of 3,705 total 4xx URLs, 3,144 are external; of 234 total 5xx URLs, 102 are external","Not as urgent as internal defects, but still degrades reader experience and QC quality","Audit outbound links on high-traffic posts and replace blocked or dead references where they matter editorially",Low,Open
